# year,month,day,hour,min,sec,msec, x (m), y(m), z(m)
2020,9,1,0,0,0,0,1.56354e-01,6.40518e-02,-2.54115e-01
2020,9,1,0,0,0,400,1.97009e-02,-4.57036e-02,-3.64059e-01
2020,9,1,0,0,0,799,-4.94790e-03,4.64854e-02,-2.57613e-01
2020,9,1,0,0,1,200,6.99733e-02,1.19744e-01,-1.13943e-01
2020,9,1,0,0,1,599,6.87271e-02,1.55263e-01,7.37670e-02
2020,9,1,0,0,2,0,9.02097e-02,2.08011e-01,2.10707e-01
2020,9,1,0,0,2,400,2.56788e-01,2.78973e-01,1.86510e-01
2020,9,1,0,0,2,799,3.67650e-01,1.83850e-01,1.35295e-01
2020,9,1,0,0,3,200,3.57234e-01,1.98238e-01,1.43801e-01
2020,9,1,0,0,3,599,2.91723e-01,3.04805e-01,9.12891e-02
2020,9,1,0,0,4,0,1.61334e-01,3.17965e-01,-1.01701e-01
2020,9,1,0,0,4,400,-4.66761e-02,2.39127e-01,-3.12081e-01
2020,9,1,0,0,4,799,-1.63715e-01,8.66211e-02,-4.53131e-01
2020,9,1,0,0,5,200,-2.90818e-01,-9.74608e-03,-4.69347e-01
2020,9,1,0,0,5,599,-3.17427e-01,-1.24884e-01,-5.14603e-01
2020,9,1,0,0,6,0,-2.22102e-01,-3.32372e-01,-5.72853e-01
2020,9,1,0,0,6,400,-1.38845e-01,-5.76048e-01,-3.99012e-01
2020,9,1,0,0,6,799,-7.76186e-02,-5.42009e-01,-8.26439e-02
2020,9,1,0,0,7,200,-2.70481e-01,-3.79758e-01,1.38653e-01
2020,9,1,0,0,7,599,-4.96342e-01,-3.28804e-01,1.89565e-01
2020,9,1,0,0,8,0,-4.88212e-01,-2.78160e-01,2.20211e-01
2020,9,1,0,0,8,400,-3.36720e-01,-1.35166e-01,3.52180e-01
2020,9,1,0,0,8,799,-1.52053e-01,2.51114e-02,4.80516e-01
2020,9,1,0,0,9,200,-2.40462e-02,1.47834e-01,5.83340e-01
2020,9,1,0,0,9,599,4.74705e-02,2.70010e-01,6.25923e-01
2020,9,1,0,0,10,0,1.63259e-01,3.17942e-01,5.20869e-01
2020,9,1,0,0,10,400,3.88833e-01,3.28772e-01,3.95302e-01
2020,9,1,0,0,10,799,5.02584e-01,4.32137e-01,3.01098e-01
2020,9,1,0,0,11,200,4.93965e-01,5.35028e-01,1.44546e-01
2020,9,1,0,0,11,599,5.17779e-01,5.26880e-01,-8.70233e-02
2020,9,1,0,0,12,0,5.73870e-01,4.63918e-01,-2.56838e-01
2020,9,1,0,0,12,400,5.30586e-01,3.64260e-01,-3.88023e-01
2020,9,1,0,0,12,799,4.63988e-01,1.35430e-01,-5.62373e-01
2020,9,1,0,0,13,200,3.64157e-01,-7.46540e-02,-5.51613e-01
2020,9,1,0,0,13,599,9.77430e-02,-6.29229e-02,-3.77363e-01
2020,9,1,0,0,14,0,-3.01758e-01,5.91799e-02,-3.40058e-01
2020,9,1,0,0,14,400,-5.89813e-01,3.42196e-02,-5.67601e-01
2020,9,1,0,0,14,799,-6.21487e-01,-1.76074e-01,-8.34796e-01
2020,9,1,0,0,15,200,-5.55175e-01,-4.03643e-01,-8.35681e-01
2020,9,1,0,0,15,599,-5.44692e-01,-5.74744e-01,-6.38048e-01
2020,9,1,0,0,16,0,-6.45592e-01,-7.08536e-01,-3.65156e-01
2020,9,1,0,0,16,400,-7.02063e-01,-7.31488e-01,-5.61386e-02
2020,9,1,0,0,16,799,-7.04332e-01,-6.45060e-01,2.32118e-01
2020,9,1,0,0,17,200,-6.07781e-01,-5.59264e-01,4.79796e-01
2020,9,1,0,0,17,599,-4.23771e-01,-3.62555e-01,7.03020e-01
2020,9,1,0,0,18,0,-2.19387e-01,-5.63892e-02,8.72015e-01
2020,9,1,0,0,18,400,-3.84994e-02,1.18731e-01,8.36629e-01
2020,9,1,0,0,18,799,9.60736e-02,3.11732e-01,7.39109e-01
2020,9,1,0,0,19,200,1.96500e-01,4.28902e-01,7.09213e-01
2020,9,1,0,0,19,599,2.84829e-01,4.71535e-01,7.03847e-01
2020,9,1,0,0,20,0,4.04976e-01,6.43111e-01,7.73703e-01
2020,9,1,0,0,20,400,4.91087e-01,8.32535e-01,8.21874e-01
2020,9,1,0,0,20,799,5.53301e-01,9.65054e-01,6.58208e-01
2020,9,1,0,0,21,200,7.04277e-01,9.31311e-01,2.83559e-01
2020,9,1,0,0,21,599,8.54058e-01,6.57284e-01,-9.70702e-02
2020,9,1,0,0,22,0,7.81563e-01,3.47111e-01,-3.66122e-01
2020,9,1,0,0,22,400,5.19587e-01,1.11509e-01,-6.23659e-01
2020,9,1,0,0,22,799,2.47223e-01,-8.66756e-02,-9.92254e-01
2020,9,1,0,0,23,200,-1.35668e-02,-4.31842e-01,-1.34101e+00
2020,9,1,0,0,23,599,-3.06598e-01,-7.75981e-01,-1.49471e+00
2020,9,1,0,0,24,0,-5.87887e-01,-1.15594e+00,-1.44819e+00
2020,9,1,0,0,24,400,-8.57450e-01,-1.31358e+00,-1.11065e+00
2020,9,1,0,0,24,799,-8.49361e-01,-1.32350e+00,-6.22710e-01
2020,9,1,0,0,25,200,-6.75260e-01,-1.22311e+00,-1.20453e-01
2020,9,1,0,0,25,599,-6.24615e-01,-9.57046e-01,4.37848e-01
2020,9,1,0,0,26,0,-5.40521e-01,-6.18590e-01,7.91996e-01
2020,9,1,0,0,26,400,-3.01576e-01,-3.00632e-01,8.99956e-01
2020,9,1,0,0,26,799,-1.41416e-01,-1.12599e-01,9.27996e-01
2020,9,1,0,0,27,200,-5.97165e-02,3.66687e-02,1.01487e+00
2020,9,1,0,0,27,599,7.63518e-02,3.33631e-01,1.21110e+00
2020,9,1,0,0,28,0,2.56641e-01,5.73549e-01,1.33691e+00
2020,9,1,0,0,28,400,4.91942e-01,7.75602e-01,1.23919e+00
2020,9,1,0,0,28,799,6.92426e-01,1.05053e+00,9.63592e-01
2020,9,1,0,0,29,200,8.81159e-01,1.19491e+00,5.38687e-01
2020,9,1,0,0,29,599,9.91488e-01,1.09972e+00,-1.80207e-02
2020,9,1,0,0,30,0,9.58003e-01,8.38670e-01,-5.05871e-01
2020,9,1,0,0,30,400,8.14158e-01,4.87162e-01,-8.68385e-01
2020,9,1,0,0,30,799,6.15203e-01,2.10922e-01,-1.11706e+00
