# year,month,day,hour,min,sec,msec, x (m), y(m), z(m)
2023,3,14,0,0,0,0,0.0300914,-0.00121479,0.0182917
2023,3,14,0,0,0,400,0.0390382,-0.0108305,0.0253453
2023,3,14,0,0,0,799,0.047873,-0.00259207,0.0332751
2023,3,14,0,0,1,200,0.0456531,-0.0124046,0.0241137
2023,3,14,0,0,1,599,0.0324424,-0.0222267,0.0208361
2023,3,14,0,0,2,0,0.0192813,-0.032044,0.00546209
2023,3,14,0,0,2,400,0.00618312,-0.0418203,0.00790558
2023,3,14,0,0,2,799,0.00413996,-0.033583,0.0171327
2023,3,14,0,0,3,200,-0.0197381,-0.0432443,0.0281075
2023,3,14,0,0,3,599,-0.0105415,-0.0348304,0.0248713
2023,3,14,0,0,4,0,-0.0231723,-0.0263204,0.00747192
2023,3,14,0,0,4,400,-0.0355819,0.00124826,-0.00911173
2023,3,14,0,0,4,799,-0.0367924,-0.00794551,-0.0328606
2023,3,14,0,0,5,200,-0.0268229,0.00105,-0.0478214
2023,3,14,0,0,5,599,-0.0166245,0.0102642,-0.0729678
2023,3,14,0,0,6,0,-0.0171461,0.0386548,-0.0883549
2023,3,14,0,0,6,400,-0.0282897,0.030391,-0.090035
2023,3,14,0,0,6,799,-0.0280873,0.0224991,-0.0810524
2023,3,14,0,0,7,200,-0.027495,0.0149829,-0.0664603
2023,3,14,0,0,7,599,-0.0155438,0.0258114,-0.0462725
2023,3,14,0,0,8,0,-0.00319083,0.0369921,-0.043423
2023,3,14,0,0,8,400,0.00958325,0.0306094,-0.0399151
2023,3,14,0,0,8,799,0.0118461,0.0426035,-0.03477
2023,3,14,0,0,9,200,0.0255803,0.0549815,-0.0319657
2023,3,14,0,0,9,599,0.0288532,0.0498158,-0.0334864
2023,3,14,0,0,10,0,0.0326919,0.0630438,-0.024373
2023,3,14,0,0,10,400,0.0371185,0.0587371,-0.0146346
2023,3,14,0,0,10,799,0.0311841,0.0548777,0.015662
2023,3,14,0,0,11,200,0.02592,0.0693992,0.0136475
2023,3,14,0,0,11,599,0.0322806,0.0842797,0.00933336
2023,3,14,0,0,12,0,0.0283488,0.0995139,0.00374094
2023,3,14,0,0,12,400,0.0251091,0.0971517,0.0048394
2023,3,14,0,0,12,799,0.0335494,0.0772421,0.0215788
2023,3,14,0,0,13,200,0.0317073,0.0577577,0.0349901
2023,3,14,0,0,13,599,0.0415477,0.0566054,0.0470784
2023,3,14,0,0,14,0,0.0411254,0.0736933,0.0668187
2023,3,14,0,0,14,400,0.0523943,0.0730428,0.0523663
2023,3,14,0,0,14,799,0.0533976,0.0726175,0.0447123
2023,3,14,0,0,15,200,0.0660879,0.0723961,0.041834
2023,3,14,0,0,15,599,0.0575639,0.0543991,0.0248114
2023,3,14,0,0,16,0,0.0497932,0.0365958,0.0186085
2023,3,14,0,0,16,400,0.0318432,0.0368546,0.0182093
2023,3,14,0,0,16,799,0.0146841,0.0192154,0.00369472
2023,3,14,0,0,17,200,-0.00169501,0.0195643,-0.00395979
2023,3,14,0,0,17,599,-0.00634577,0.00191163,-0.00576986
2023,3,14,0,0,18,0,-0.0102791,0.00215455,-0.000739492
2023,3,14,0,0,18,400,-0.0135113,-0.0346147,-0.00183945
2023,3,14,0,0,18,799,-0.0051087,-0.0525159,-6.30735e-05
2023,3,14,0,0,19,200,-0.00705322,-0.0347487,0.000600627
2023,3,14,0,0,19,599,-0.00834509,-0.0352798,-0.0078033
2023,3,14,0,0,20,0,-0.0309379,-0.0361444,-0.0202353
2023,3,14,0,0,20,400,-0.0638016,-0.0373981,-0.0087926
2023,3,14,0,0,20,799,-0.063087,-0.0390883,-0.00642451
2023,3,14,0,0,21,200,-0.0727737,-0.00438413,-0.00610683
2023,3,14,0,0,21,599,-0.070944,-0.00719064,-0.00483155
2023,3,14,0,0,22,0,-0.0686161,-0.0105285,0.00336536
2023,3,14,0,0,22,400,-0.0658177,-0.0144518,0.0055349
2023,3,14,0,0,22,799,-0.0625769,-0.001041,0.0136555
2023,3,14,0,0,23,200,-0.0589202,0.0116723,0.025718
2023,3,14,0,0,23,599,-0.0658379,0.0236547,0.0237928
2023,3,14,0,0,24,0,-0.0723517,0.0169715,0.0228848
2023,3,14,0,0,24,400,-0.0675518,0.00961524,0.020994
2023,3,14,0,0,24,799,-0.051489,0.00154927,0.0221224
2023,3,14,0,0,25,200,-0.0571216,-0.00721099,0.0163152
2023,3,14,0,0,25,599,-0.0405733,-0.0166757,0.0165272
2023,3,14,0,0,26,0,-0.0238682,-0.0268537,0.00583091
2023,3,14,0,0,26,400,0.00392429,-0.0377194,0.000199738
2023,3,14,0,0,26,799,0.02081,-0.0672047,0.0135768
2023,3,14,0,0,27,200,0.0596525,-0.0793504,0.00304054
2023,3,14,0,0,27,599,0.0655744,-0.110077,-0.00140852
2023,3,14,0,0,28,0,0.0824921,-0.123433,0.000185915
2023,3,14,0,0,28,400,0.110327,-0.174233,-0.00711373
2023,3,14,0,0,28,799,0.138041,-0.206525,-0.0242802
2023,3,14,0,0,29,200,0.110819,-0.203418,-0.0323333
2023,3,14,0,0,29,599,0.105557,-0.181931,-0.0273379
2023,3,14,0,0,30,0,0.100202,-0.161032,-0.0312405
2023,3,14,0,0,30,400,0.10568,-0.140664,-0.0390346
2023,3,14,0,0,30,799,0.100008,-0.120775,-0.0367623
2023,3,14,0,0,31,200,0.0831953,-0.101304,-0.0314262
2023,3,14,0,0,31,599,0.0662094,-0.101115,-0.0210411
2023,3,14,0,0,32,0,0.0490147,-0.101151,-0.0145938
2023,3,14,0,0,32,400,0.0425406,-0.0824115,-0.00609837
2023,3,14,0,0,32,799,0.0138297,-0.0638285,0.0134108
2023,3,14,0,0,33,200,-0.0151241,-0.0453392,0.0379202
2023,3,14,0,0,33,599,-0.0114947,-0.0268626,0.0484639
2023,3,14,0,0,34,0,-0.030227,-0.00834257,0.0550898
2023,3,14,0,0,34,400,-0.0493435,0.0102992,0.0428538
2023,3,14,0,0,34,799,-0.0469602,0.0291437,0.0317521
2023,3,14,0,0,35,200,-0.0779617,0.0482612,0.00585805
2023,3,14,0,0,35,599,-0.0874617,0.0856382,0.00406616
2023,3,14,0,0,36,0,-0.108429,0.0865041,0.00934643
2023,3,14,0,0,36,400,-0.107989,0.106843,0.00774105
2023,3,14,0,0,36,799,-0.108148,0.108802,0.00623622
2023,3,14,0,0,37,200,-0.0979682,0.130362,0.00384116
2023,3,14,0,0,37,599,-0.077506,0.133675,-0.00541387
2023,3,14,0,0,38,0,-0.0577591,0.137777,-0.0224881
2023,3,14,0,0,38,400,-0.0387566,0.124809,-0.0254531
2023,3,14,0,0,38,799,-0.0314576,0.130741,-0.0332744
2023,3,14,0,0,39,200,-0.0248584,0.11969,-0.0389743
2023,3,14,0,0,39,599,-0.0189683,0.0917755,-0.0355673
2023,3,14,0,0,40,0,-0.0247463,0.082958,-0.0460217
2023,3,14,0,0,40,400,-0.0202235,0.0931886,-0.0533252
2023,3,14,0,0,40,799,-0.01642,0.0865741,-0.0455475
2023,3,14,0,0,41,200,-0.00235557,0.0990704,-0.0366817
2023,3,14,0,0,41,599,1.41711e-05,0.0947498,-0.0297329
2023,3,14,0,0,42,0,0.0126541,0.0737081,-0.0207006
2023,3,14,0,0,42,400,0.0245631,0.053952,-0.0105847
2023,3,14,0,0,42,799,0.024813,0.0533961,0.0125572
2023,3,14,0,0,43,200,0.0134515,0.054048,0.0327414
2023,3,14,0,0,43,599,0.00148621,0.0558931,0.0410269
2023,3,14,0,0,44,0,-0.000100168,0.0589256,0.0284926
2023,3,14,0,0,44,400,-0.0132571,0.0631082,0.0270934
2023,3,14,0,0,44,799,-0.0160079,0.050502,0.0308109
2023,3,14,0,0,45,200,-0.00836778,0.0570083,0.0346436
2023,3,14,0,0,45,599,-0.00133312,0.0645779,0.0256497
2023,3,14,0,0,46,0,-0.0058371,0.0552531,0.0138401
2023,3,14,0,0,46,400,9.65078e-05,0.0649309,0.00918583
2023,3,14,0,0,46,799,-0.00545652,0.0755538,0.0136611
2023,3,14,0,0,47,200,0.0104329,0.0502152,0.0162488
2023,3,14,0,0,47,599,0.0148231,0.0258713,0.0120013
2023,3,14,0,0,48,0,0.00778339,0.00247134,0.00591667
2023,3,14,0,0,48,400,0.0112953,-0.0200577,0.000987862
2023,3,14,0,0,48,799,0.014378,-0.0417563,0.0021964
2023,3,14,0,0,49,200,0.0280048,-0.0437749,-0.00145259
2023,3,14,0,0,49,599,0.0412133,-0.0641077,-0.010919
2023,3,14,0,0,50,0,0.0430486,-0.064882,-0.0102575
2023,3,14,0,0,50,400,0.055509,-0.0651601,-0.0015
2023,3,14,0,0,50,799,0.0566446,-0.0650248,-0.00260973
2023,3,14,0,0,51,200,0.057479,-0.0645309,-0.00856231
2023,3,14,0,0,51,599,0.0470811,-0.0637516,-0.0163614
2023,3,14,0,0,52,0,0.0364639,-0.0816605,-0.0100555
2023,3,14,0,0,52,400,0.0366064,-0.0804161,-0.00466144
2023,3,14,0,0,52,799,0.0365235,-0.0611497,0.0038154
2023,3,14,0,0,53,200,0.0252717,-0.0598437,0.00739535
2023,3,14,0,0,53,599,0.01388,-0.0406351,0.0100692
2023,3,14,0,0,54,0,0.00235667,-0.0395154,0.00487495
2023,3,14,0,0,54,400,0.00167288,-0.0574648,0.0027836
2023,3,14,0,0,54,799,0.000843266,-0.0566065,-0.00716226
2023,3,14,0,0,55,200,0.0217889,-0.0559973,-0.0110161
2023,3,14,0,0,55,599,0.00965805,-0.0746051,-0.00280409
2023,3,14,0,0,56,0,0.0193866,-0.0566359,0.0114303
2023,3,14,0,0,56,400,0.00705129,-0.0570521,0.00774744
2023,3,14,0,0,56,799,-0.00532107,-0.0399744,0.0101298
2023,3,14,0,0,57,200,-0.00677384,-0.0413555,0.00360314
2023,3,14,0,0,57,599,-0.019247,-0.0432422,0.00314328
2023,3,14,0,0,58,0,-0.00982129,-0.0277356,0.0106921
2023,3,14,0,0,58,400,-0.0114507,-0.0128555,0.011294
2023,3,14,0,0,58,799,-0.00215801,-0.0165616,0.0119382
2023,3,14,0,0,59,200,-0.0148622,-0.00293297,-0.00133005
2023,3,14,0,0,59,599,-0.0275553,-0.00793002,-0.00854472
2023,3,14,0,1,0,0,-0.0402269,0.00436425,-0.0206899
2023,3,14,0,1,0,400,-0.0528731,-0.00198347,-0.0148288
2023,3,14,0,1,0,799,-0.0545309,-0.00899021,0.000964326
2023,3,14,0,1,1,200,-0.056199,-0.0166476,0.00177429
2023,3,14,0,1,1,599,-0.046919,-0.0249621,0.00157382
2023,3,14,0,1,2,0,-0.0376871,-0.0339371,-0.00161349
2023,3,14,0,1,2,400,-0.0284895,-0.0256289,0.00415413
2023,3,14,0,1,2,799,-0.0303026,-0.0180453,0.00690735
2023,3,14,0,1,3,200,-0.0211448,-0.0290955,0.0126058
2023,3,14,0,1,3,599,-0.0120199,-0.02284,0.0142711
2023,3,14,0,1,4,0,-0.0138922,-0.0172616,0.00693554
2023,3,14,0,1,4,400,-0.0157449,-0.0302656,0.00357221
2023,3,14,0,1,4,799,-0.00663874,-0.0259236,-0.00081555
2023,3,14,0,1,5,200,-0.0085178,-0.022203,-0.00522538
2023,3,14,0,1,5,599,0.000559496,-0.019084,-0.0126652
2023,3,14,0,1,6,0,0.00961733,-0.0165421,-0.0211171
2023,3,14,0,1,6,400,0.00766844,0.00337299,-0.0246062
2023,3,14,0,1,6,799,0.00573369,0.00475677,-0.0211768
2023,3,14,0,1,7,200,0.00381206,0.00564915,-0.0237933
2023,3,14,0,1,7,599,0.00187614,0.0239805,-0.0155205
2023,3,14,0,1,8,0,-5.54137e-05,0.0238719,-0.000367137
2023,3,14,0,1,8,400,0.0199146,0.0233443,0.00569466
2023,3,14,0,1,8,799,0.0178778,0.0224339,0.00668701
2023,3,14,0,1,9,200,0.0158172,0.0211486,0.00162574
2023,3,14,0,1,9,599,0.0246956,0.0374597,0.00249422
2023,3,14,0,1,10,0,0.0334962,0.0354525,0.00727812
2023,3,14,0,1,10,400,0.0422253,0.0510953,0.00996697
2023,3,14,0,1,10,799,0.0289498,0.0484679,0.00860584
2023,3,14,0,1,11,200,0.015668,0.0635394,0.00419453
2023,3,14,0,1,11,599,0.0133305,0.078331,0.010688
2023,3,14,0,1,12,0,0.0109203,0.074931,0.00513596
2023,3,14,0,1,12,400,0.0193804,0.0892823,0.0174801
2023,3,14,0,1,12,799,0.0277153,0.0854817,0.0327119
2023,3,14,0,1,13,200,0.0359142,0.0815581,0.0358695
2023,3,14,0,1,13,599,0.0439573,0.0954396,0.0290049
2023,3,14,0,1,14,0,0.0518355,0.0912229,0.0181345
2023,3,14,0,1,14,400,0.0705083,0.0869124,0.00926008
2023,3,14,0,1,14,799,0.0560731,0.0645951,-0.00758635
2023,3,14,0,1,15,200,0.0634632,0.0422879,-0.019411
2023,3,14,0,1,15,599,0.0596799,0.0379263,-0.0302237
2023,3,14,0,1,16,0,0.0447741,0.0155843,-0.035041
2023,3,14,0,1,16,400,0.0406921,-0.00672541,-0.0398449
2023,3,14,0,1,16,799,0.0254761,-0.0110816,-0.0486285
2023,3,14,0,1,17,200,0.0210528,-0.0334032,-0.0454152
2023,3,14,0,1,17,599,0.00547436,-0.0377571,-0.0392305
2023,3,14,0,1,18,0,-0.0102746,-0.0421463,-0.0360367
2023,3,14,0,1,18,400,-0.015247,-0.0465691,-0.0188999
2023,3,14,0,1,18,799,-0.031396,-0.0510275,-0.0077677
2023,3,14,0,1,19,200,-0.0367762,-0.0375957,-0.00760886
2023,3,14,0,1,19,599,-0.0533428,-0.0242659,0.00754375
2023,3,14,0,1,20,0,-0.0701073,-0.0289904,0.00673965
2023,3,14,0,1,20,400,-0.0761154,-0.0337536,0.00402344
2023,3,14,0,1,20,799,-0.0604434,-0.0206417,0.00435983
2023,3,14,0,1,21,200,-0.0670189,-0.0255728,0.00379161
2023,3,14,0,1,21,599,-0.0738239,-0.0305796,0.00729014
2023,3,14,0,1,22,0,-0.0808608,-0.0356402,0.00787515
2023,3,14,0,1,22,400,-0.0771792,-0.0407769,0.00756589
2023,3,14,0,1,22,799,-0.0737528,-0.0459889,0.0153355
2023,3,14,0,1,23,200,-0.0596432,-0.0512795,0.0241801
2023,3,14,0,1,23,599,-0.0458217,-0.0387248,0.0251508
2023,3,14,0,1,24,0,-0.0322845,-0.0263421,0.019271
2023,3,14,0,1,24,400,-0.0299725,-0.0320472,0.00458662
2023,3,14,0,1,24,799,-0.0169255,-0.0378581,0.00206503
2023,3,14,0,1,25,200,-0.0150824,-0.025858,0.00168535
2023,3,14,0,1,25,599,-0.013427,-0.0140287,-0.0035301
2023,3,14,0,1,26,0,0.00995786,-0.0203219,-0.00656787
2023,3,14,0,1,26,400,0.000232586,-0.00880182,-0.00346123
2023,3,14,0,1,26,799,-0.0205461,0.0025169,-0.00617245
2023,3,14,0,1,27,200,-0.0304122,-0.00429248,-0.00871054
2023,3,14,0,1,27,599,-0.040341,0.00670208,-0.00310777
2023,3,14,0,1,28,0,-0.06127,-0.000430306,0.0126097
2023,3,14,0,1,28,400,-0.0493346,0.0102243,0.0204629
2023,3,14,0,1,28,799,-0.0374912,0.0206778,0.0125214
2023,3,14,0,1,29,200,-0.0366925,0.0129895,0.0177314
2023,3,14,0,1,29,599,-0.0249667,0.0231056,0.024088
2023,3,14,0,1,30,0,-0.0242456,0.0150768,0.0266105
2023,3,14,0,1,30,400,-0.0235216,0.00690484,0.0342653
2023,3,14,0,1,30,799,-0.000872701,0.0165366,0.0340887
2023,3,14,0,1,31,200,0.0107727,0.0259548,0.0290905
2023,3,14,0,1,31,599,-0.0104558,0.0351685,0.0342297
2023,3,14,0,1,32,0,-0.0096233,0.026254,0.0385086
2023,3,14,0,1,32,400,0.013182,0.0351421,0.0259994
2023,3,14,0,1,32,799,0.0250075,0.025906,0.0276136
2023,3,14,0,1,33,200,0.0368732,0.0344824,0.0204135
2023,3,14,0,1,33,599,0.0597319,0.0249288,0.010382
2023,3,14,0,1,34,0,0.0716416,0.0332064,-0.00446414
2023,3,14,0,1,34,400,0.0835762,0.0233689,-0.0121507
2023,3,14,0,1,34,799,0.0955629,0.031361,-0.0276677
2023,3,14,0,1,35,200,0.107582,0.0212599,-0.0380185
2023,3,14,0,1,35,599,0.108681,0.0110728,-0.0462403
2023,3,14,0,1,36,0,0.120795,0.000805079,-0.0483619
2023,3,14,0,1,36,400,0.121974,-0.00953001,-0.0444097
2023,3,14,0,1,36,799,0.112238,-0.0199313,-0.0383939
2023,3,14,0,1,37,200,0.113538,-0.0303788,-0.0482676
